Index;CRED;IPC;INCLU;FUND;FUNDA;PUB;GAP;UTIL
1990-01-01;;14.02;;;;;;
1990-02-01;;14.25;;;;;;
1990-03-01;;14.67;;;;;;
1990-04-01;;15.24;;;;;;
1990-05-01;;16.16;;;;;;
1990-06-01;;16.75;;;;;;
1990-07-01;;17.34;;;;;;
1990-08-01;;17.5;;;;;;
1990-09-01;;18.57;;;;;;
1990-10-01;;19.32;;;;;;
1990-11-01;;20.06;;;;;;
1990-12-01;;21.74;;;;;;
1991-01-01;;22.52;;;;;;
1991-02-01;;22.44;;;;;;
1991-03-01;;22.47;;;;;;
1991-04-01;;22.78;;;;;;
1991-05-01;;23.03;;;;;;
1991-06-01;;23.22;;;;;;
1991-07-01;;23.27;;;;;;
1991-08-01;;23.62;;;;;;
1991-09-01;;23.45;;;;;;
1991-10-01;;23.48;;;;;;
1991-11-01;;23.6;;;;;;
1991-12-01;;23.92;;;;;;
1992-01-01;;24.02;;;;;;
1992-02-01;;24.27;;;;;;
1992-03-01;;24.73;;;;;;
1992-04-01;;24.92;;;;;;
1992-05-01;;25.11;;;;;;
1992-06-01;;25.3;;;;;;
1992-07-01;;25.7;;;;;;
1992-08-01;;25.9;;;;;;
1992-09-01;;26.08;;;;;;
1992-10-01;;26.2;;;;;;
1992-11-01;;26.72;;;;;;
1992-12-01;;27.32;;;;;;
1993-01-01;;27.45;;;;;;
1993-02-01;;27.5;;;;;;
1993-03-01;;27.7;;;;;;
1993-04-01;;28.09;;;;;;
1993-05-01;;28.25;;;;;;
1993-06-01;;28.94;;;;;;
1993-07-01;;29.62;;;;;;
1993-08-01;;29.7;;;;;;
1993-09-01;;29.57;;;;;;
1993-10-01;;29.74;;;;;;
1993-11-01;;30.13;;;;;;
1993-12-01;;30.5;;;;;;
1994-01-01;;31.15;;;;;;
1994-02-01;;31.44;;;;;;
1994-03-01;;31.62;;;;;;
1994-04-01;;32;;;;;;
1994-05-01;;32.25;;;;;;
1994-06-01;;32.35;;;;;;
1994-07-01;;32.5;;;;;;
1994-08-01;;32.89;;;;;;
1994-09-01;;33.11;;;;;;
1994-10-01;;33.4;;;;;;
1994-11-01;;33.87;;;;;;
1994-12-01;;34.03;;;;;;
1995-01-01;;34.05;;;;;;
1995-02-01;;33.94;;;;;;
1995-03-01;;34.1;;;;;;
1995-04-01;;34.36;;;;;;
1995-05-01;;34.87;;;;;;
1995-06-01;;35.31;;;;;;
1995-07-01;;35.38;;;;;;
1995-08-01;;35.6;;;;;;
1995-09-01;;35.8;;;;;;
1995-10-01;;36.3;;;;;;
1995-11-01;;36.78;;;;;;
1995-12-01;;36.96;;;;;;
1996-01-01;;37.37;;;;;;
1996-02-01;;37.61;;;;;;
1996-03-01;;38.01;;;;;;
1996-04-01;;38.47;;;;;;
1996-05-01;;38.71;;;;;;
1996-06-01;;38.96;;;;;;
1996-07-01;;39.49;;;;;;
1996-08-01;;39.88;;;;;;
1996-09-01;;40.01;;;;;;
1996-10-01;;40.16;;;;;;
1996-11-01;;40.62;;;;;;
1996-12-01;;40.97;;;;;;
1997-01-01;;41.41;;;;;;
1997-02-01;;42.38;;;;;;
1997-03-01;;42.39;;;;;;
1997-04-01;;42.37;;;;;;
1997-05-01;;42.43;;;;;;
1997-06-01;;42.45;;;;;;
1997-07-01;;42.64;;;;;;
