FECHA;PIBREAL;DEUDA
1990-03-01;;
1990-06-01;;
1990-09-01;;
1990-12-01;;
1991-03-01;;
1991-06-01;;
1991-09-01;;
1991-12-01;;
1992-03-01;;
1992-06-01;;
1992-09-01;;
1992-12-01;;
1993-03-01;;
1993-06-01;;
1993-09-01;;
1993-12-01;;
1994-03-01;;
1994-06-01;;
1994-09-01;;
1994-12-01;;
1995-03-01;;
1995-06-01;;
1995-09-01;;
1995-12-01;;
1996-03-01;;
1996-06-01;;
1996-09-01;;
1996-12-01;;
1997-03-01;;
1997-06-01;;
1997-09-01;;
1997-12-01;;
1998-03-01;;
1998-06-01;;
1998-09-01;;
1998-12-01;;
1999-03-01;;
1999-06-01;;
1999-09-01;;
1999-12-01;;
2000-03-01;;
2000-06-01;;
2000-09-01;;
2000-12-01;;
2001-03-01;70050.97;
2001-06-01;66502.08;
2001-09-01;66295.39;
2001-12-01;71142.04;
2002-03-01;72145.56;
2002-06-01;69888.95;
2002-09-01;70286.13;
2002-12-01;73301.09;
2003-03-01;75431.26;
2003-06-01;71534.83;
2003-09-01;71870.18;
2003-12-01;74259.31;
2004-03-01;76677.33;
2004-06-01;73500.91;
2004-09-01;73979.25;
2004-12-01;77639.26;
2005-03-01;79253.4;
2005-06-01;77141.65;
2005-09-01;75748.84;
2005-12-01;78903.47;
2006-03-01;83148.61;
2006-06-01;79391.12;
2006-09-01;80758.17;
2006-12-01;85089.95;
2007-03-01;88329.82;
2007-06-01;85217.7;
2007-09-01;85463.83;
2007-12-01;89240.03;
2008-03-01;90917.39;
2008-06-01;90135.9;
2008-09-01;88167.31;
2008-12-01;91785.28;
2009-03-01;90807.47;
2009-06-01;89276.58;
2009-09-01;89388.61;
2009-12-01;93815.18;
2010-03-01;93548.25;
2010-06-01;92070.79;
2010-09-01;91001.06;
2010-12-01;96860.62;
2011-03-01;97275.49;
2011-06-01;96217.01;
2011-09-01;96220.3;
2011-12-01;100369.52;
2012-03-01;100987.58;
2012-06-01;98796.04;
2012-09-01;98634.03;
2012-12-01;103941.56;
2013-03-01;103944.16;
2013-06-01;103189.87;
2013-09-01;102342.83;
2013-12-01;106906.36;
2014-03-01;108277.25;4937
2014-06-01;107651.39;5491.65
2014-09-01;106762.92;4797.7
2014-12-01;112195.64;4159.5
2015-03-01;113352.23;4113
2015-06-01;111006;3909.7
2015-09-01;112024.53;4482.9
2015-12-01;116300.77;5534.4
2016-03-01;115253.4;3611.1
2016-06-01;115154.1;2086.3
2016-09-01;114334.39;1083.5
2016-12-01;120063.61;2270.6
2017-03-01;120677.46;2184.4
2017-06-01;117995.05;839.1
2017-09-01;117912.7;283
2017-12-01;122535.59;2867.7
2018-03-01;123976.88;2608.1
2018-06-01;123059.77;1949.5
2018-09-01;122032.49;1378.4
2018-12-01;126374.72;4211.3
2019-03-01;128691.81;2637.19
2019-06-01;127717.46;1197.66
2019-09-01;126876.37;262.51
2019-12-01;131987.44;5611.710095
2020-03-01;129740.41;4839.700365
2020-06-01;116507.43;3106.693582
2020-09-01;125202.29;1336.738849
2020-12-01;134733.11;5439.012837
2021-03-01;135591.87;4906.32841
2021-06-01;134491.34;4846.412664
2021-09-01;135368.61;6075.065
2021-12-01;141128.74;5815.294
2022-03-01;141688.97;7414.768043
2022-06-01;139977.14;2903.37367
2022-09-01;140461.17;3430.771259
